district,school,enroll,dtap_pct_vac,dtap_partial,dtap_nonmedical,dtap_medical,polio_pct,polio_partial,polio_nonmedical,polio_medical,mmr_pct,mmr_partial,mmr_nonmedical,mmr_medical,hepb_pct,hepb_partial,hepb_nonmedical,hepb_medical,varicella_pct,varicella_partial,varicella_diseasehistory,varicella_nonmedical,varicella_medical,tdap_pct,tdap_nodoses,tdap_nonmedical,tdap_medical,meningococcal_pct,meningococcal_nodoses,meningococcal_nonmedical,meningococcal_medical,notes
ACADEMIA CESAR CHAVEZ CHARTER SCH,ACADEMIA CESAR CHAVEZ CHARTER SCH,58,0.9483,0.0517,0.0000,0.0000,0.9483,0.0517,0.0000,0.0000,0.9483,0.0517,0.0000,0.0000,0.9483,0.0517,0.0000,0.0000,0.9310,0.0690,0.0000,0.0000,0.0000,0.7586,0.2414,0.0000,0.0000,0.7586,0.2414,0.0000,0.0000,
ST. FRANCIS,ST. FRANCIS MIDDLE SCHOOL,350,0.9600,0.0000,0.0400,0.0000,0.9886,0.0000,0.0114,0.0000,0.9486,0.0171,0.0343,0.0000,0.9857,0.0000,0.0143,0.0000,0.9543,0.0029,0.0171,0.0229,0.0029,0.9829,0.0171,0.0000,0.0000,0.9486,0.0171,0.0343,0.0000,
LAKE OF THE WOODS,LAKE OF THE WOODS SEC.,39,0.9744,0.0000,0.0256,0.0000,0.9744,0.0000,0.0256,0.0000,0.9487,0.0000,0.0513,0.0000,0.9487,0.0000,0.0513,0.0000,0.9487,0.0000,0.0000,0.0513,0.0000,0.9487,0.0000,0.0513,0.0000,0.9744,0.0000,0.0256,0.0000,
STILLWATER,ST CROIX CATHOLIC,39,0.9487,0.0256,0.0256,0.0000,0.9231,0.0513,0.0256,0.0000,0.9487,0.0256,0.0256,0.0000,0.9487,0.0000,0.0513,0.0000,0.9744,0.0000,0.0000,0.0256,0.0000,0.9487,0.0256,0.0256,0.0000,0.9487,0.0256,0.0256,0.0000,
BUFFALO LAKE-HECTOR,BUFFALO LAKE-HECTOR SEC.,40,0.9500,0.0000,0.0250,0.0250,0.9500,0.0000,0.0250,0.0250,0.9500,0.0000,0.0250,0.0250,0.9500,0.0000,0.0250,0.0250,0.9500,0.0000,0.0000,0.0250,0.0250,0.8000,0.0000,0.1750,0.0250,0.8000,0.0000,0.1750,0.0250,
LITTLE FALLS,MARY OF LOURDES MIDDLE SCHOOL,20,1.0000,0.0000,0.0000,0.0000,0.9500,0.0000,0.0500,0.0000,0.9500,0.0000,0.0500,0.0000,1.0000,0.0000,0.0000,0.0000,0.9000,0.0000,0.0000,0.1000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9500,0.0000,0.0500,0.0000,
NOVA CLASSICAL ACADEMY,NOVA CLASSICAL ACADEMY - UPPER SCHOOL,80,0.9500,0.0125,0.0375,0.0000,0.9625,0.0125,0.0250,0.0000,0.9500,0.0250,0.0250,0.0000,0.9375,0.0125,0.0500,0.0000,0.8875,0.0125,0.0250,0.0750,0.0000,0.8000,0.1750,0.0250,0.0000,0.7250,0.2625,0.0125,0.0000,
SPECTRUM,SPECTRUM HIGH SCHOOL,121,0.9504,0.0000,0.0413,0.0083,0.9587,0.0000,0.0331,0.0083,0.9504,0.0000,0.0496,0.0000,1.0000,0.0000,0.0000,0.0000,0.9256,0.0000,0.0083,0.0661,0.0000,0.9256,0.0000,0.0744,0.0000,0.9256,0.0000,0.0744,0.0000,
FILLMORE CENTRAL,FILLMORE CENTRAL SR.,41,0.9756,0.0244,0.0000,0.0000,0.9756,0.0244,0.0000,0.0000,0.9512,0.0488,0.0000,0.0000,0.9756,0.0244,0.0000,0.0000,0.9268,0.0732,0.0000,0.0000,0.0000,0.9024,0.0976,0.0000,0.0000,0.8537,0.1463,0.0000,0.0000,
MINNEAPOLIS,RISEN CHRIST,41,0.9512,0.0488,0.0000,0.0000,0.9512,0.0488,0.0000,0.0000,0.9512,0.0488,0.0000,0.0000,0.9756,0.0000,0.0244,0.0000,0.9512,0.0488,0.0000,0.0000,0.0000,0.9268,0.0488,0.0244,0.0000,0.9268,0.0488,0.0244,0.0000,
EDEN VALLEY-WATKINS,EDEN VALLEY SEC.,83,0.9277,0.0000,0.0723,0.0000,0.9518,0.0000,0.0482,0.0000,0.9518,0.0000,0.0482,0.0000,0.9518,0.0000,0.0482,0.0000,0.8795,0.0000,0.0000,0.1205,0.0000,0.9277,0.0000,0.0723,0.0000,0.9398,0.0000,0.0602,0.0000,
ST. PAUL,ST. PAUL ACADEMY - SUMMIT (MIDDLE),83,0.9639,0.0000,0.0361,0.0000,0.9639,0.0000,0.0361,0.0000,0.9518,0.0000,0.0361,0.0120,0.9518,0.0000,0.0361,0.0120,0.9518,0.0120,0.0000,0.0361,0.0000,0.8193,0.1687,0.0120,0.0000,0.7590,0.2289,0.0120,0.0000,
CLEARBROOK-GONVICK,CLEARBROOK-GONVICK SCHOOL,42,0.9524,0.0476,0.0000,0.0000,0.9524,0.0476,0.0000,0.0000,0.9524,0.0476,0.0000,0.0000,0.9524,0.0476,0.0000,0.0000,0.9048,0.0952,0.0000,0.0000,0.0000,0.8333,0.1667,0.0000,0.0000,0.8095,0.1905,0.0000,0.0000,
SAUK CENTRE,SAUK CENTRE JR.,84,0.9643,0.0000,0.0357,0.0000,0.9643,0.0000,0.0357,0.0000,0.9524,0.0119,0.0357,0.0000,0.9643,0.0000,0.0357,0.0000,0.9167,0.0119,0.0238,0.0476,0.0000,0.9524,0.0119,0.0357,0.0000,0.9524,0.0119,0.0357,0.0000,
ST. PAUL,FRIENDS SCHOOL OF MINNESOTA,21,0.9048,0.0000,0.0952,0.0000,0.9524,0.0000,0.0476,0.0000,0.9524,0.0000,0.0476,0.0000,0.9524,0.0000,0.0476,0.0000,0.8571,0.0000,0.0476,0.0476,0.0476,0.9048,0.0952,0.0000,0.0000,0.8571,0.1429,0.0000,0.0000,
WINONA AREA PUBLIC SCHOOLS,COTTER JUNIOR HIGH,42,0.9524,0.0000,0.0476,0.0000,0.9524,0.0000,0.0476,0.0000,0.9524,0.0000,0.0476,0.0000,0.9524,0.0000,0.0476,0.0000,0.9524,0.0000,0.0000,0.0476,0.0000,0.9286,0.0476,0.0238,0.0000,0.9286,0.0476,0.0238,0.0000,
ROCKFORD,ROCKFORD MID.,127,0.9528,0.0000,0.0472,0.0000,0.9528,0.0000,0.0472,0.0000,0.9528,0.0000,0.0472,0.0000,0.9528,0.0000,0.0472,0.0000,0.9291,0.0000,0.0236,0.0472,0.0000,0.9213,0.0157,0.0630,0.0000,0.9055,0.0315,0.0630,0.0000,
LAKES INTERNATIONAL LANGUAGE ACADEMY,LAKES INTERNATIONAL LANGUAGE ACADEMY-HEADWATERS,85,0.9412,0.0000,0.0588,0.0000,0.9294,0.0000,0.0706,0.0000,0.9529,0.0000,0.0471,0.0000,0.9529,0.0000,0.0471,0.0000,0.9294,0.0000,0.0118,0.0588,0.0000,0.9412,0.0000,0.0588,0.0000,0.9294,0.0000,0.0706,0.0000,
G.F.W.,G.F.W. MID.,44,0.9773,0.0227,0.0000,0.0000,0.9773,0.0227,0.0000,0.0000,0.9545,0.0455,0.0000,0.0000,0.9545,0.0455,0.0000,0.0000,0.9545,0.0227,0.0000,0.0227,0.0000,0.9773,0.0227,0.0000,0.0000,0.8864,0.0682,0.0455,0.0000,
GRAND RAPIDS,BIGFORK SEC.,22,0.9091,0.0000,0.0909,0.0000,0.9545,0.0000,0.0455,0.0000,0.9545,0.0000,0.0455,0.0000,0.9545,0.0000,0.0455,0.0000,0.9545,0.0000,0.0000,0.0455,0.0000,0.9091,0.0000,0.0909,0.0000,0.9091,0.0000,0.0909,0.0000,
MINNEAPOLIS,NORTHEAST MID.,176,0.9602,0.0398,0.0000,0.0000,0.9659,0.0341,0.0000,0.0000,0.9545,0.0398,0.0057,0.0000,0.9602,0.0398,0.0000,0.0000,0.9432,0.0568,0.0000,0.0000,0.0000,0.7784,0.2216,0.0000,0.0000,0.7557,0.2443,0.0000,0.0000,
SLEEPY EYE,ST MARYS HS,22,0.9545,0.0000,0.0455,0.0000,0.9545,0.0000,0.0455,0.0000,0.9545,0.0000,0.0455,0.0000,0.9545,0.0000,0.0455,0.0000,0.8636,0.0000,0.0455,0.0909,0.0000,0.9545,0.0000,0.0455,0.0000,0.9545,0.0000,0.0455,0.0000,
SOJOURNER TRUTH ACADEMY,SOJOURNER TRUTH ACADEMY,44,0.8864,0.1136,0.0000,0.0000,0.9545,0.0455,0.0000,0.0000,0.9545,0.0455,0.0000,0.0000,0.9545,0.0455,0.0000,0.0000,0.9545,0.0455,0.0000,0.0000,0.0000,0.6591,0.3409,0.0000,0.0000,0.5909,0.4091,0.0000,0.0000,
WESTBROOK-WALNUT GROVE SCH,WESTBROOK JUNIOR/SENIOR HIGH,22,0.9091,0.0909,0.0000,0.0000,0.9091,0.0909,0.0000,0.0000,0.9545,0.0455,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9091,0.0909,0.0000,0.0000,0.0000,0.9091,0.0909,0.0000,0.0000,0.7727,0.2273,0.0000,0.0000,
JORDAN,JORDAN MID,155,0.9677,0.0000,0.0323,0.0000,0.9742,0.0000,0.0258,0.0000,0.9548,0.0065,0.0323,0.0065,0.9806,0.0000,0.0194,0.0000,0.9226,0.0000,0.0452,0.0323,0.0000,0.9419,0.0000,0.0581,0.0000,0.9355,0.0000,0.0645,0.0000,
MINNEAPOLIS,BARTON OPEN EL.,90,0.9222,0.0333,0.0444,0.0000,0.9333,0.0333,0.0333,0.0000,0.9556,0.0111,0.0333,0.0000,0.9333,0.0333,0.0333,0.0000,0.9222,0.0111,0.0333,0.0333,0.0000,0.8333,0.1111,0.0556,0.0000,0.8000,0.1778,0.0222,0.0000,
COMMUNITY SCHOOL OF EXCELLENCE,COMMUNITY SCHOOL OF EXCELLENCE,136,0.9853,0.0147,0.0000,0.0000,0.9779,0.0221,0.0000,0.0000,0.9559,0.0441,0.0000,0.0000,0.9779,0.0221,0.0000,0.0000,0.9191,0.0441,0.0368,0.0000,0.0000,0.5735,0.4265,0.0000,0.0000,0.5294,0.4706,0.0000,0.0000,
BEMIDJI,ST PHILIP,23,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9565,0.0000,0.0435,0.0000,1.0000,0.0000,0.0000,0.0000,0.9565,0.0000,0.0000,0.0435,0.0000,0.8696,0.0435,0.0870,0.0000,0.8696,0.0435,0.0870,0.0000,
EDGERTON,EDGERTON CHRISTIAN,23,0.9565,0.0000,0.0435,0.0000,0.9565,0.0000,0.0435,0.0000,0.9565,0.0000,0.0435,0.0000,1.0000,0.0000,0.0000,0.0000,0.9565,0.0000,0.0000,0.0435,0.0000,0.9565,0.0435,0.0000,0.0000,0.7826,0.1739,0.0435,0.0000,
NORTH ST PAUL-MAPLEWOOD,TRANSFIGURATION,23,0.9565,0.0435,0.0000,0.0000,0.9565,0.0435,0.0000,0.0000,0.9565,0.0435,0.0000,0.0000,0.9565,0.0435,0.0000,0.0000,0.9565,0.0435,0.0000,0.0000,0.0000,0.9565,0.0435,0.0000,0.0000,0.9565,0.0435,0.0000,0.0000,
LAKE CITY,LINCOLN SEC.,93,0.9677,0.0000,0.0323,0.0000,0.9677,0.0000,0.0323,0.0000,0.9570,0.0000,0.0430,0.0000,0.9677,0.0000,0.0323,0.0000,0.8925,0.0000,0.0430,0.0645,0.0000,0.9355,0.0108,0.0538,0.0000,0.9355,0.0108,0.0538,0.0000,
LUVERNE,LUVERNE MID.,94,0.9574,0.0426,0.0000,0.0000,0.9574,0.0426,0.0000,0.0000,0.9574,0.0426,0.0000,0.0000,0.9468,0.0532,0.0000,0.0000,0.9574,0.0426,0.0000,0.0000,0.0000,0.8298,0.1702,0.0000,0.0000,0.8191,0.1702,0.0000,0.0106,
NEW PRAGUE AREA SCHOOLS,NEW PRAGUE MID.,310,0.9774,0.0000,0.0226,0.0000,0.9806,0.0000,0.0161,0.0032,0.9581,0.0032,0.0387,0.0000,0.9774,0.0032,0.0194,0.0000,0.9290,0.0032,0.0226,0.0452,0.0000,0.9548,0.0000,0.0452,0.0000,0.9516,0.0000,0.0484,0.0000,
AUSTIN,AUSTIN ALC,24,0.9583,0.0000,0.0417,0.0000,0.9583,0.0000,0.0417,0.0000,0.9583,0.0000,0.0417,0.0000,0.9583,0.0000,0.0417,0.0000,0.9583,0.0000,0.0000,0.0417,0.0000,0.9583,0.0000,0.0417,0.0000,0.9583,0.0000,0.0417,0.0000,
CAMBRIDGE-ISANTI,MN CENTER,24,0.9583,0.0000,0.0417,0.0000,0.9583,0.0000,0.0417,0.0000,0.9583,0.0000,0.0417,0.0000,0.9583,0.0000,0.0417,0.0000,0.8750,0.0000,0.0000,0.1250,0.0000,0.9583,0.0000,0.0417,0.0000,0.9583,0.0000,0.0417,0.0000,
SIBLEY EAST,SIBLEY EAST JR HIGH,96,0.9479,0.0521,0.0000,0.0000,0.9583,0.0417,0.0000,0.0000,0.9583,0.0313,0.0104,0.0000,0.9583,0.0417,0.0000,0.0000,0.9167,0.0625,0.0104,0.0104,0.0000,0.8750,0.1146,0.0104,0.0000,0.8854,0.1042,0.0104,0.0000,
WRENSHALL,WRENSHALL SEC.,24,0.9583,0.0417,0.0000,0.0000,0.9583,0.0417,0.0000,0.0000,0.9583,0.0417,0.0000,0.0000,0.9583,0.0417,0.0000,0.0000,0.9167,0.0417,0.0417,0.0000,0.0000,0.9583,0.0417,0.0000,0.0000,0.9583,0.0417,0.0000,0.0000,
MINNEAPOLIS,RAMSEY MIDDLE SCHOOL,289,0.9654,0.0173,0.0173,0.0000,0.9654,0.0173,0.0173,0.0000,0.9585,0.0173,0.0242,0.0000,0.9619,0.0138,0.0242,0.0000,0.9412,0.0173,0.0173,0.0208,0.0035,0.8443,0.1488,0.0069,0.0000,0.7924,0.2007,0.0069,0.0000,
ST. ANTHONY-NEW BRIGHTON,ST. ANTHONY MID.,145,0.9724,0.0000,0.0276,0.0000,0.9724,0.0000,0.0276,0.0000,0.9586,0.0000,0.0414,0.0000,0.9655,0.0000,0.0345,0.0000,0.9379,0.0000,0.0276,0.0345,0.0000,0.9379,0.0345,0.0276,0.0000,0.9241,0.0483,0.0276,0.0000,
HUTCHINSON,HUTCHINSON MID.,243,0.9712,0.0000,0.0247,0.0041,0.9671,0.0000,0.0288,0.0041,0.9588,0.0000,0.0329,0.0082,0.9753,0.0000,0.0247,0.0000,0.9300,0.0000,0.0206,0.0412,0.0082,0.9712,0.0000,0.0247,0.0041,0.9630,0.0000,0.0288,0.0082,
SEVEN HILLS CLASSICAL ACADEMY,SEVEN HILLS PREPATORY ACADEMY - UPPER,73,0.9589,0.0137,0.0274,0.0000,0.9726,0.0000,0.0274,0.0000,0.9589,0.0000,0.0411,0.0000,0.9589,0.0137,0.0274,0.0000,0.9452,0.0000,0.0137,0.0411,0.0000,0.8767,0.0959,0.0274,0.0000,0.8356,0.1233,0.0411,0.0000,
BROWERVILLE,BROWERVILLE SEC.,49,1.0000,0.0000,0.0000,0.0000,0.9796,0.0000,0.0204,0.0000,0.9592,0.0000,0.0408,0.0000,1.0000,0.0000,0.0000,0.0000,0.9388,0.0000,0.0000,0.0612,0.0000,0.8980,0.0204,0.0816,0.0000,0.8367,0.0408,0.1224,0.0000,
DOVER-EYOTA,DOVER-EYOTA SEC.,98,0.9388,0.0306,0.0306,0.0000,0.9592,0.0102,0.0306,0.0000,0.9592,0.0102,0.0306,0.0000,0.9694,0.0000,0.0306,0.0000,0.9592,0.0102,0.0000,0.0306,0.0000,0.9184,0.0510,0.0306,0.0000,0.9082,0.0612,0.0306,0.0000,
LEWISTON-ALTURA,LEWISTON-ALTURA SEC.,49,0.9592,0.0000,0.0408,0.0000,0.9796,0.0000,0.0204,0.0000,0.9592,0.0000,0.0408,0.0000,0.9592,0.0000,0.0408,0.0000,0.9592,0.0000,0.0000,0.0408,0.0000,0.9388,0.0204,0.0408,0.0000,0.9592,0.0000,0.0408,0.0000,
STILLWATER,OAK-LAND JR.,295,0.9763,0.0034,0.0169,0.0034,0.9729,0.0034,0.0169,0.0068,0.9593,0.0034,0.0271,0.0102,0.9559,0.0068,0.0169,0.0203,0.9254,0.0068,0.0000,0.0475,0.0203,0.9085,0.0847,0.0068,0.0000,0.9119,0.0814,0.0068,0.0000,
LITCHFIELD,LITCHFIELD MIDDLE SCHOOL,124,0.9758,0.0000,0.0242,0.0000,0.9758,0.0000,0.0242,0.0000,0.9597,0.0161,0.0242,0.0000,0.9839,0.0000,0.0161,0.0000,0.8871,0.0242,0.0565,0.0323,0.0000,0.9355,0.0403,0.0242,0.0000,0.9274,0.0323,0.0161,0.0242,
PEM,PLAINVIEW-ELGIN-MILLVILLE JUNIOR,124,0.9677,0.0000,0.0323,0.0000,0.9677,0.0000,0.0323,0.0000,0.9597,0.0000,0.0403,0.0000,0.9677,0.0000,0.0323,0.0000,0.9435,0.0000,0.0000,0.0565,0.0000,0.9597,0.0081,0.0323,0.0000,0.9516,0.0081,0.0403,0.0000,
ST. PAUL,LINWOOD UPPER,124,0.9677,0.0081,0.0242,0.0000,0.9758,0.0000,0.0242,0.0000,0.9597,0.0161,0.0242,0.0000,0.9677,0.0242,0.0081,0.0000,0.9032,0.0726,0.0000,0.0242,0.0000,0.7661,0.2258,0.0081,0.0000,0.7258,0.2742,0.0000,0.0000,
SOUTH WASHINGTON COUNTY,COTTAGE GROVE JR.,397,0.9673,0.0000,0.0327,0.0000,0.9673,0.0000,0.0327,0.0000,0.9597,0.0000,0.0403,0.0000,0.9798,0.0000,0.0202,0.0000,0.9521,0.0000,0.0050,0.0428,0.0000,0.9547,0.0000,0.0428,0.0025,0.9471,0.0000,0.0529,0.0000,
ANOKA-HENNEPIN,EPIPHANY EDUC CENTER,50,0.9400,0.0000,0.0600,0.0000,0.9400,0.0000,0.0600,0.0000,0.9600,0.0000,0.0400,0.0000,0.9000,0.0000,0.1000,0.0000,0.9600,0.0000,0.0000,0.0400,0.0000,0.9400,0.0000,0.0600,0.0000,0.9000,0.0000,0.1000,0.0000,
LEROY,LEROY - OSTRANDER PUBLIC SCHOOLS,25,0.9600,0.0000,0.0400,0.0000,0.9600,0.0000,0.0400,0.0000,0.9600,0.0000,0.0400,0.0000,1.0000,0.0000,0.0000,0.0000,0.9600,0.0000,0.0000,0.0400,0.0000,0.9600,0.0400,0.0000,0.0000,0.9600,0.0400,0.0000,0.0000,
MOUNDS VIEW,ST JOHN THE BAPTIST,25,0.9600,0.0400,0.0000,0.0000,0.9600,0.0400,0.0000,0.0000,0.9600,0.0400,0.0000,0.0000,0.9600,0.0400,0.0000,0.0000,0.8400,0.0400,0.1200,0.0000,0.0000,0.8800,0.1200,0.0000,0.0000,0.8400,0.1600,0.0000,0.0000,
ST. LOUIS COUNTY,NORTHEAST RANGE HIGH SCHOOL,25,0.9600,0.0000,0.0400,0.0000,0.9600,0.0000,0.0400,0.0000,0.9600,0.0000,0.0400,0.0000,0.9600,0.0000,0.0400,0.0000,0.8800,0.0000,0.0400,0.0800,0.0000,0.9600,0.0000,0.0400,0.0000,0.9600,0.0000,0.0400,0.0000,
ROBBINSDALE,SANDBURG MIDDLE SCHOOL,176,0.9659,0.0000,0.0284,0.0057,0.9716,0.0000,0.0284,0.0000,0.9602,0.0057,0.0341,0.0000,0.9545,0.0057,0.0284,0.0114,0.9489,0.0057,0.0114,0.0284,0.0057,0.9659,0.0000,0.0341,0.0000,0.9659,0.0000,0.0341,0.0000,
WARROAD,WARROAD SR.,76,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9605,0.0132,0.0263,0.0000,1.0000,0.0000,0.0000,0.0000,0.8947,0.0263,0.0395,0.0395,0.0000,0.9474,0.0132,0.0395,0.0000,0.9474,0.0132,0.0395,0.0000,
WESTONKA,GRANDVIEW MID.,204,0.9608,0.0000,0.0343,0.0049,0.9608,0.0000,0.0343,0.0049,0.9608,0.0000,0.0343,0.0049,0.9608,0.0000,0.0343,0.0049,0.9559,0.0000,0.0000,0.0392,0.0049,0.9461,0.0196,0.0343,0.0000,0.9412,0.0196,0.0392,0.0000,
MILACA,MILACA SEC.,154,0.9675,0.0000,0.0325,0.0000,0.9610,0.0000,0.0325,0.0065,0.9610,0.0065,0.0325,0.0000,0.9675,0.0065,0.0260,0.0000,0.9221,0.0065,0.0130,0.0519,0.0065,0.8442,0.1494,0.0065,0.0000,0.8377,0.1494,0.0130,0.0000,
TRITON,TRITON MIDDLE SCHOOL,103,0.9515,0.0388,0.0097,0.0000,0.9417,0.0485,0.0097,0.0000,0.9612,0.0388,0.0000,0.0000,0.9320,0.0583,0.0097,0.0000,0.9417,0.0485,0.0000,0.0097,0.0000,0.9223,0.0777,0.0000,0.0000,0.9223,0.0680,0.0097,0.0000,
DULUTH,ST JOHNS SCHOOL,26,0.9615,0.0000,0.0385,0.0000,0.9615,0.0000,0.0385,0.0000,0.9615,0.0000,0.0385,0.0000,0.9615,0.0000,0.0385,0.0000,0.9615,0.0000,0.0000,0.0385,0.0000,0.9231,0.0385,0.0385,0.0000,0.8462,0.0769,0.0769,0.0000,
HOPKINS,NOTRE DAME ACADEMY,26,0.9231,0.0385,0.0385,0.0000,0.9231,0.0385,0.0385,0.0000,0.9615,0.0000,0.0385,0.0000,0.9615,0.0000,0.0385,0.0000,0.9615,0.0000,0.0000,0.0385,0.0000,0.9615,0.0000,0.0385,0.0000,0.9615,0.0385,0.0000,0.0000,
RICHFIELD,BLESSED TRINITY-NICOLLET CAMPUS,26,1.0000,0.0000,0.0000,0.0000,0.9615,0.0385,0.0000,0.0000,0.9615,0.0385,0.0000,0.0000,0.9615,0.0385,0.0000,0.0000,0.9615,0.0000,0.0385,0.0000,0.0000,0.9231,0.0769,0.0000,0.0000,0.9231,0.0769,0.0000,0.0000,
RUSHFORD-PETERSON,RUSHFORD-PETERSON MID.,52,0.9615,0.0385,0.0000,0.0000,0.9615,0.0385,0.0000,0.0000,0.9615,0.0385,0.0000,0.0000,0.9615,0.0385,0.0000,0.0000,0.9423,0.0577,0.0000,0.0000,0.0000,0.7885,0.2115,0.0000,0.0000,0.7885,0.2115,0.0000,0.0000,
CHISAGO LAKES,CHISAGO LAKES MID.,264,0.9621,0.0038,0.0341,0.0000,0.9583,0.0000,0.0417,0.0000,0.9621,0.0000,0.0379,0.0000,0.9697,0.0000,0.0303,0.0000,0.9470,0.0000,0.0114,0.0417,0.0000,0.9621,0.0000,0.0379,0.0000,0.9545,0.0000,0.0455,0.0000,
DELANO,DELANO MID.,212,0.9623,0.0000,0.0377,0.0000,0.9623,0.0000,0.0377,0.0000,0.9623,0.0000,0.0377,0.0000,0.9811,0.0000,0.0189,0.0000,0.9198,0.0000,0.0425,0.0377,0.0000,0.9858,0.0000,0.0142,0.0000,0.9717,0.0000,0.0283,0.0000,
MINNEAPOLIS,CARONDELET CATHOLIC,53,0.9811,0.0000,0.0189,0.0000,0.9623,0.0000,0.0377,0.0000,0.9623,0.0000,0.0377,0.0000,0.9623,0.0000,0.0377,0.0000,0.9623,0.0000,0.0000,0.0377,0.0000,0.8868,0.1132,0.0000,0.0000,0.8491,0.1321,0.0189,0.0000,
MINNEAPOLIS,FIELD EL.,133,0.9624,0.0000,0.0376,0.0000,0.9699,0.0000,0.0301,0.0000,0.9624,0.0000,0.0376,0.0000,0.9624,0.0000,0.0376,0.0000,0.9474,0.0000,0.0150,0.0376,0.0000,0.9398,0.0150,0.0451,0.0000,0.9474,0.0150,0.0376,0.0000,
NORTH BRANCH,NORTH BRANCH MID.,213,0.9624,0.0000,0.0376,0.0000,0.9671,0.0000,0.0329,0.0000,0.9624,0.0000,0.0376,0.0000,0.9577,0.0000,0.0423,0.0000,0.9249,0.0000,0.0141,0.0610,0.0000,0.9531,0.0000,0.0469,0.0000,0.9484,0.0000,0.0516,0.0000,
EDEN PRAIRIE,CENTRAL MID.,642,0.9798,0.0000,0.0202,0.0000,0.9766,0.0000,0.0234,0.0000,0.9626,0.0000,0.0249,0.0125,0.9751,0.0000,0.0202,0.0047,0.9361,0.0000,0.0249,0.0296,0.0093,0.9766,0.0062,0.0171,0.0000,0.9626,0.0109,0.0265,0.0000,
ALBANY,ALBANY MIDDLE SCHOOL,134,0.9701,0.0000,0.0299,0.0000,0.9776,0.0000,0.0224,0.0000,0.9627,0.0000,0.0373,0.0000,0.9627,0.0000,0.0373,0.0000,0.9179,0.0000,0.0224,0.0597,0.0000,0.9701,0.0000,0.0299,0.0000,0.9627,0.0000,0.0373,0.0000,
CROMWELL-WRIGHT,CROMWELL-WRIGHT SEC.,27,0.9630,0.0000,0.0370,0.0000,0.9630,0.0000,0.0370,0.0000,0.9630,0.0000,0.0370,0.0000,0.9630,0.0000,0.0370,0.0000,0.9630,0.0000,0.0000,0.0370,0.0000,0.8889,0.0741,0.0370,0.0000,0.8519,0.1111,0.0370,0.0000,
ESKO,LINCOLN SEC.,81,0.9753,0.0123,0.0123,0.0000,0.9753,0.0123,0.0123,0.0000,0.9630,0.0247,0.0123,0.0000,0.9877,0.0123,0.0000,0.0000,0.9506,0.0247,0.0123,0.0123,0.0000,0.8889,0.1111,0.0000,0.0000,0.8765,0.1235,0.0000,0.0000,
PRINCETON,PRINCETON MIDDLE  6-8,243,0.9712,0.0000,0.0247,0.0041,0.9671,0.0000,0.0288,0.0041,0.9630,0.0041,0.0288,0.0041,0.9136,0.0535,0.0288,0.0041,0.9506,0.0041,0.0082,0.0329,0.0041,0.9424,0.0123,0.0412,0.0041,0.9300,0.0165,0.0494,0.0041,
ST. CLOUD,ST JOHNS PREPARATORY,27,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9630,0.0370,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
Athlos Leadership Academy,ATHLOS LEADERSHIP ACADEMY,82,0.9756,0.0000,0.0244,0.0000,0.9634,0.0122,0.0244,0.0000,0.9634,0.0122,0.0244,0.0000,0.9756,0.0000,0.0244,0.0000,0.9512,0.0000,0.0000,0.0244,0.0244,0.8293,0.1463,0.0244,0.0000,0.7927,0.1829,0.0244,0.0000,
WAYZATA,WAYZATA EAST MID.,277,0.9747,0.0108,0.0144,0.0000,0.9711,0.0108,0.0181,0.0000,0.9639,0.0144,0.0217,0.0000,0.9675,0.0108,0.0217,0.0000,0.9242,0.0108,0.0000,0.0253,0.0397,0.9603,0.0144,0.0253,0.0000,0.9567,0.0144,0.0289,0.0000,
ALEXANDRIA,DISCOVERY JR.,333,0.9730,0.0090,0.0180,0.0000,0.9700,0.0120,0.0180,0.0000,0.9640,0.0120,0.0240,0.0000,0.9760,0.0060,0.0180,0.0000,0.9489,0.0120,0.0150,0.0240,0.0000,0.9730,0.0000,0.0270,0.0000,0.9730,0.0000,0.0270,0.0000,
WEST ST. PAUL-MENDOTA HTS.-EAGAN,HERITAGE MID.,167,0.9820,0.0000,0.0180,0.0000,0.9701,0.0000,0.0299,0.0000,0.9641,0.0000,0.0359,0.0000,0.9701,0.0060,0.0240,0.0000,0.9222,0.0060,0.0359,0.0359,0.0000,0.9581,0.0180,0.0240,0.0000,0.9401,0.0299,0.0299,0.0000,
MADELIA,MADELIA SEC.,28,0.9286,0.0357,0.0357,0.0000,0.9286,0.0357,0.0357,0.0000,0.9643,0.0000,0.0357,0.0000,0.9286,0.0357,0.0357,0.0000,0.9286,0.0000,0.0357,0.0357,0.0000,1.0000,0.0000,0.0000,0.0000,0.9286,0.0357,0.0357,0.0000,
